name,affiliate,country,parent,total,dems,repubs
ABB Group ,ABB Group,Switzerland,Asea Brown Boveri,1000,1000,0
Accenture ,Accenture,Ireland,Accenture plc,75500,46000,29500
Advance America Cash Advance Centers ,Grupo Salinas,Mexico,Grupo Salinas,3000,1000,2000
Air Liquide America,NA,France,L'Air Liquide SA,11500,5000,6500
Airbus Group,NA,Netherlands,Airbus Group,79000,26500,52500
Alkermes Inc,NA,Ireland,Alkermes Plc,40250,11250,29000
Allergan PLC ,Allergan PLC,Ireland,Allergan PLC,98500,6000,92500
Allianz of America ,Allianz,Germany,Allianz AG Holding,34500,16100,18400
Anheuser-Busch ,Anheuser-Busch InBev,Belgium,Anheuser-Busch InBev,218500,109000,109500
AON Corp ,AON plc,UK,AON PLC,29500,14000,15500
APL Maritime ,CMA CGM,France,CMA CGM SA,14000,8500,5500
Arcadis US ,Arcadis NV,Netherlands,Arcadis NV,0,0,0
ArcelorMittal USA,NA,Luxembourg,ArcelorMittal,21500,4000,17500
Arch Capital Group ,US,UK,Arch Capital Group,7000,3500,3500
Arkema Inc,NA,France,Arkema,43500,17000,26500
Ash Grove ,CRH Plc,Ireland,CRH PLC,0,0,0
Ashton Woods Corp,NA,Canada,Great Gulf Group,0,0,0
Assured Guaranty Municipal Corp ,Assured Guaranty US Holdings,UK,Assured Guaranty Ltd,67500,38100,29400
Astellas US,NA,Japan,Astellas Pharma,40000,29000,11000
AstraZeneca Pharmaceuticals ,AstraZeneca PLC,UK,AstraZeneca PLC,115500,53500,62000
Atkins North America,NA,UK,WS Atkins PLC,9700,0,9700
Austal USA,NA,Australia,Austal,6200,2700,3500
Avangrid Inc ,Iberdrola SA,Spain,Iberdrola SA,27000,10500,14000
AXA Equitable Life Insurance ,AXA,France,AXA,41000,13500,27500
Bacardi USA,NA,UK,Bacardi Ltd,11500,4500,6000
BAE Systems ,BAE Systems,UK,BAE Systems,301000,147000,154000
Barclays Group US,NA,UK,Barclays plc,18000,8000,10000
Barrick Goldstrike Mines,NA,Canada,Barrick Gold Corp,11000,6500,4500
BASF Corp,NA,Germany,BASF SE,126500,57500,69000
Bayer Corp ,Bayer AG,Germany,Bayer AG,103000,41500,61500
Bayer CropScience ,Bayer AG,Germany,Bayer AG,-4500,-4500,0
BBVA USA,NA,Spain,Banco Bilbao Vizcaya Argentaria,154500,44000,110500
Beam Suntory ,Suntory Holdings,Japan,Suntory Holdings,14331,9500,4831
BMO Financial Corp ,Bank of Montreal,Canada,Bank of Montreal,0,0,0
BMO Financial Corp ,Bank of Montreal,Canada,Bank of Montreal,80300,37800,42500
Boehringer Ingelheim Corp,NA,Germany,CH Boehringer Sohn,48500,23000,25500
Bombardier Transportation USA ,Bombardier Inc,Canada,Bombardier Inc,27500,17500,10000
BP,NA,UK,BP PLC,104500,28000,76500
Bridgestone Americas,NA,Japan,Bridgestone Corp,7500,2500,5000
Bumble Bee Foods,NA,UK,Lion Capital,1000,1000,0
"Burson, Cohn & Wolfe ",WPP Group,UK,WPP Group,21000,8500,12500
Buzzi Unicem USA ,Buzzi Unicem SpA,Italy,Buzzi Unicem SpA,500,0,500
CalPortland Co,NA,Japan,Taiheiyo Cement Co,30000,10000,20000
Cardtronics Inc,NA,UK,Cardtronics Plc,0,0,0
Carmeuse Lime,NA,Netherlands,Carmeuse Holding SA,0,0,0
Case New Holland,NA,Netherlands,CNH Global,36500,1500,35000
CEMEX Inc,NA,Mexico,CEMEX SA de CV,56000,23500,32500
CGI Technologies & Solutions,NA,Canada,Groupe CGI,12500,7500,5000
Chicago Bridge & Iron ,McDermott International,Panama,McDermott International,5470,470,5000
Chubb Group of Insurance Companies,NA,Switzerland,Chubb Ltd,76000,28500,47500
CIBC Bancorp,NA,Canada,Canadian Imperial Bank of Commerce,3000,2000,1000
Cirrus Aircraft Corp,NA,China,China Aviation Industry General Aircraft,1500,1500,0
Cobham Management Services,NA,UK,Cobham PLC,64000,13500,50500
Continental Automotive Systems ,Continental AG,Germany,Continental AG,17500,8500,9000
Covestro LLC ,Covestro AG,Germany,Covestro AG,17500,2000,15500
Credit Suisse Securities,NA,Switzerland,Credit Suisse Group,22000,6000,16000
CRH Americas ,CRH PLC,Ireland,CRH PLC,236500,56500,180000
CSL Behring,NA,Australia,CSL Ltd,30000,13500,16500
Daimler Trucks North America ,Daimler AG,Germany,Daimler AG,2500,0,2500
Delhaize America,NA,Belgium,Ahold Delhaize,3500,1000,2500
Deutsche Bank Securities,NA,Germany,Deutsche Bank AG,0,0,0
Diageo North America ,Diageo PLC,UK,Diageo PLC,20108,11060,9048
Direct Energy Inc,NA,UK,Centrica Plc,0,0,0
Eaton Corp ,Eaton Corp,Ireland,Eaton Plc,13000,4500,8500
EDF Renewables ,EDF Group,France,EDF Group,8000,4500,3500
EDP Renewables NA,NA,Portugal,EDP Renovaveis,9000,4000,5000
Eisai Inc,NA,Japan,Eisai Co Ltd,2500,2500,0
Elbit Systems of America,NA,Israel,Elbit Systems Ltd,34600,6600,28000
Elekta Inc ,Elekta AB,Sweden,Elekta AB,27500,12000,15500
Embraer Aircraft Holdings,NA,Brazil,Embraer-Empresa Brasileira de Aeronautic,18000,5000,13000
EMD Serono Inc,NA,Germany,Merck KGaA,53500,28500,25000
Enbridge Inc,NA,Canada,Enbridge Inc,12500,4500,8000
EnCana Oil & Gas USA ,EnCana Corp,Canada,EnCana Corp,19500,5000,14500
Endo Pharmaceuticals,NA,Ireland,Endo International,0,0,0
ENGIE North America,NA,France,ENGIE,0,0,0
Ericsson Inc,NA,Sweden,Telefonaktiebolaget LM Ericsson,10500,5000,5500
Experian,NA,UK,Experian plc,264500,119500,145000
Farmers Group ,Zurich Insurance Group,Switzerland,Zurich Financial Services AG,83500,32500,51000
First Hawaiian Bank ,BNP Paribas,France,BNP Paribas,0,0,0
Florida East Coast Industries ,SoftBank Corp,Japan,SoftBank Corp,34000,13500,20500
Florida East Coast Railway ,Grupo Mexico,Mexico,Grupo Mexico,500,500,0
Framatome ,EDF Group,France,EDF Group,16000,14000,2000
Fresenius Medical Care North America,NA,Germany,Fresenius Medical Care,169500,93500,76000
G4S Secure Solutions,NA,UK,G4S plc,0,0,0
Garmin International ,Garmin Ltd,Switzerland,Garmin Ltd,7000,0,7000
GE Appliances,NA,China,Haier Group,8500,5000,3500
Genentech Inc ,Roche Holdings,Switzerland,Roche Holdings,215000,97500,117500
General Cigar Co,NA,Sweden,Scandinavian Tobacco Group,0,0,0
Gerdau Ameristeel Corp,NA,Brazil,Gerdau,2000,0,2000
Glanbia Foods,NA,Ireland,Glanbia PLC,0,0,0
GlaxoSmithKline,NA,UK,GlaxoSmithKline,76000,30000,46000
Glover Park Group ,WPP Group,UK,WPP Group,58700,43200,15500
Grand Trunk Western-Illinois Central RR,NA,Canada,Canadian National Railway,4000,0,4000
Great-West Life & Annuity Insurance ,Power Financial Corp,Canada,Power Financial Corp,0,0,0
Greyhound Lines,NA,UK,FirstGroup PLC,7500,6500,1000
Headwaters Inc,NA,Australia,Boral Ltd,10000,0,10000
Heineken USA,NA,Netherlands,L'Arche Green NV,20500,11500,9000
Herbalife Nutrition,NA,UK,Herbalife Ltd,49000,32000,17000
Horizon Therapeutics,NA,Ireland,Horizon Pharma PLC,31000,7500,23500
HSBC North America ,HSBC Holdings,UK,HSBC Holdings,60000,7500,52500
HSBC North America ,HSBC Holdings,UK,HSBC Holdings,1000,0,1000
IBI Group Engineering Services,NA,Canada,IBI Group,0,0,0
IDEMIA Identity & Security ,IDEMIA,France,Safran SA,6000,2500,3500
Infineon Technologies,NA,Germany,Infineon Technologies AG,7500,5500,2000
Ingersoll-Rand,NA,Ireland,Ingersoll Rand Co,2000,0,2000
Intelsat Holdings ,Serafina SA,Luxembourg,Intelsat SA,1500,0,1500
International Game Technology,NA,Italy,B&D Holding Di Marco Drago e C Sapa,16000,10000,6000
ITG Brands,NA,UK,Imperial Brands,0,0,0
Jackson National Life Insurance ,Prudential PLC,UK,Prudential PLC,40000,3500,36500
Jackson National Life Insurance ,Prudential PLC,UK,Prudential PLC,98000,33000,65000
JBS USA,NA,Brazil,JBS SA,16000,2000,14000
John Hancock Life Insurance,NA,Canada,Manulife Financial,47900,28500,19400
Johnson Controls ,Johnson Controls International,Ireland,Johnson Controls International,139900,68900,71000
Komatsu Mining,NA,Japan,Komatsu Ltd,16500,0,16500
LafargeHolcim ,LafargeHolcim,Switzerland,LaFargeHolcim,30000,3500,26500
Lanxess Corp,NA,Germany,Lanxess Corp,1000,500,500
Lehigh Hanson,NA,Germany,HeidelbergCement AG,38500,7500,31000
Leonardo DRS,NA,Italy,Finmeccanica SpA,46000,23000,23000
Lincare Holdings ,Linde plc,UK,Linde plc,4500,0,4500
Linde North America ,Linde plc,UK,Linde plc,0,0,0
Linde plc ,Linde plc,UK,Linde Plc,7000,6000,1000
Livanova Inc,NA,UK,Livanova Plc,1000,0,1000
Louis Dreyfus Co,NA,Netherlands,Louis Dreyfus Holding B.V.,0,0,0
LSEG US,NA,UK,London Stock Exchange Group,18000,8500,9500
Lundbeck Inc,NA,Denmark,H Lundbeck A/S,36500,18500,18000
Maersk Inc ,AP Moller-Maersk,Denmark,AP Møller-Mærsk,18500,11500,7000
Magnolia LNG,NA,Australia,LNG Limited,0,0,0
Mallinckrodt Pharmaceuticals,NA,UK,Mallinckrodt Plc,31000,10000,21000
Marinette Marine,NA,Italy,Fincantieri-Cantieri Navali Italiani SpA,9500,3500,6000
Massachusetts Financial Services ,Sun Life Financial,Canada,Sun Life Financial Services,2500,0,2500
Maxar Technologies ,Maxar Technologies,Canada,Maxar Technologies,30000,9000,21000
MBDA Inc,NA,UK,MBDA,0,0,0
Medtronic Inc,NA,Ireland,Medtronic Plc,97500,47500,50000
Messer North America,NA,Germany,Messer Group,0,0,0
MillerCoors LLC ,Anheuser-Busch InBev,Belgium,Anheuser-Busch InBev,28000,10500,17500
Mitsubishi Hitachi Power Systems,NA,Japan,Mitsubishi Hitachi Power Systems,1000,0,1000
Mr Cooper Group ,SoftBank Corp,Japan,SoftBank Corp,8000,2000,6000
Munich American Reassurance,NA,Germany,Munich Re Group,5000,5000,0
Mylan Inc,NA,Netherlands,Mylan NV,109500,55500,54000
Nammo Talley Inc,NA,Norway,Nammo AS,3500,1000,2500
National Grid USA ,National Grid plc,UK,National Grid plc,12800,9800,3000
Natixis Investment Managers,NA,France,Groupe BPCE,4011,1000,3011
Nestle Purina PetCare ,Nestle SA,Switzerland,Nestle,2000,0,2000
Nomura Holding America,NA,Japan,Nomura Holdings,32000,22500,9500
NOVA Chemicals,NA,United Arab Emirates,International Petroleum Investment Co,0,0,0
Novartis Corp ,Novartis AG,Switzerland,Novartis AG,131500,58500,73000
Novo Nordisk,NA,Denmark,Novo Nordisk A/S,120013,60927,59086
Novocure Inc,NA,UK,Novocure,26800,0,26800
Nutrien Ag Solutions,NA,Canada,Nutrien Ltd,8500,1000,7500
Orano USA ,Orano Group,France,Orano Group,1500,0,1500
Otsuka America ,Otsuka Pharmaceutical,Japan,Otsuka Pharmaceutical,2500,500,2000
Pernod Ricard USA,NA,France,Pernod Ricard SA,2000,0,2000
Peter Pan Seafoods,NA,Japan,Maruha Nichiro Holdings,0,0,0
Pharmavite LLC ,Otsuka Pharmaceutical,Japan,Otsuka Pharmaceutical,24000,11000,13000
Philips Electronics North America ,Philips,Netherlands,Philips Electronics,32000,17000,15000
Protective Life Corp ,Dai-Ichi Life,Japan,Dai-Ichi Life,57300,10000,47300
Putnam Investments ,Power Financial Corp,Canada,Power Financial Corp,5237,0,5237
RBC Bank ,Royal Bank of Canada,Canada,Royal Bank of Canada,11000,6000,5000
Recurrent Energy,NA,Canada,Canadian Solar,0,0,0
RELX Inc,NA,UK,RELX Group,128000,50000,78000
Resolute Forest Products,NA,Canada,Resolute Forest Products,20500,2000,18500
Reynolds American ,British American Tobacco,UK,British American Tobacco plc,96000,31000,65000
Rio Tinto America,NA,UK,Rio Tinto Group,3500,0,3500
Roche Diagnostics ,Roche Holdings,Switzerland,Roche Holdings,31000,10500,20500
Rolls-Royce North America ,Rolls-Royce PLC,UK,Rolls-Royce PLC,114500,38000,76500
Safelite Group,NA,Belgium,D'Ieteren SA,-3000,0,-3000
Samsung Electronics America,NA,South Korea,Samsung Group,63500,33500,30000
Sanofi US ,Sanofi,France,Sanofi,128500,69000,59500
Santander Bank ,Banco Santander,Spain,Banco Santander,45500,22000,23500
SAP America,NA,Germany,SAP Aktiengesellschaft,6000,6000,0
Securitas Security Services USA,NA,Sweden,Securitas AB,0,0,0
Serco Inc,NA,UK,Serco Group,23500,13500,10000
Shell Oil,NA,Netherlands,Royal Dutch-Shell Group,4000,0,4000
Shire Holdings US ,Takeda Pharmaceutical Co,Japan,Takeda Pharmaceutical Co,-12500,-1500,-11000
Siemens Corp,NA,Germany,Siemens AG,39500,20500,19000
Smith & Nephew,NA,UK,Smith & Nephew Plc,34500,14000,20500
Smithfield Foods,NA,China,WH Group,20000,3500,16500
Smiths Group Services Corp ,Smiths Group,UK,Smiths Group PLC,26000,13500,12500
Sodexo Inc,NA,France,Sodexo,3000,0,3000
Solvay America,NA,Belgium,Solvay SA,20000,8500,11500
Sony Pictures Entertainment ,Sony Corp,Japan,Sony Corp,67000,45500,21500
Sprint Corp ,SoftBank Corp,Japan,Softbank Corp,87000,39500,47500
SSAB Americas,NA,Sweden,SSAB AB,7500,500,7000
Standard Insurance Co,NA,Japan,Meiji Yasuda Life Insurance,0,0,0
Steris Corp,NA,UK,Steris PLC,5750,5500,250
SUEZ Water,NA,France,SUEZ Environnement,2500,1500,1000
Sun Life Financial ,Sun Life Financial,Canada,Sun Life Financial,39000,27500,9000
Sunovion Pharmaceuticals ,Sumitomo Chemical,Japan,Sumitomo Chemical,38000,18000,20000
Sunpower Corp,NA,France,Total SA,4500,4500,0
Swedish Match North America ,Swedish Match AB,Sweden,Swedish Match AB,1000,0,1000
Swiss Re America,NA,Switzerland,Swiss Re,61000,38500,22500
Syngenta Corp,NA,China,ChemChina,23500,8500,15000
T-Mobile USA,NA,Germany,Deutsche Telekom AG,365500,185000,179500
Takeda Pharmaceuticals USA ,Takeda Pharmaceutical Co,Japan,Takeda Pharmaceutical Co,24500,11500,13000
Tate & Lyle Americas ,Tate & Lyle,UK,Tate & Lyle,5000,1000,4000
TD Bank USA,NA,Canada,Toronto-Dominion Bank,55700,19700,36000
TE Connectivity,NA,Switzerland,TE Connectivity,22000,6000,16000
Teva Pharmaceuticals USA,NA,Israel,Teva Pharmaceutical Industries,10500,6500,4000
Toyota Motor North America,NA,Japan,Toyota Motor Corp,391100,186000,205100
TransAmerica,NA,Netherlands,Aegon NV,242500,120000,122500
Transcanada USA Services ,Transcanada Corp,Canada,TransCanada Corp,57500,16500,41000
Travelport Inc,NA,UK,Travelport Ltd,0,0,0
UBS Americas,NA,Switzerland,UBS AG,607500,239500,368000
UCB Inc ,UCB SA,Belgium,UCB SA,2500,1500,1000
Ultra Electronics USA,NA,UK,Ultra Electronics,15000,5000,10000
Universal Music Group ,Vivendi,France,Vivendi,48500,25500,23000
Valent USA ,Sumitomo Chemical,Japan,Sumitomo Chemical,6500,3500,3000
VNA Holding ,AB Volvo,Sweden,AB Volvo,16000,4000,12000
VT Halter Marine,NA,Singapore,ST Engineering,5200,0,5200
Washington Gas Light Co ,AltaGas Ltd,Canada,AltaGas Ltd,6500,6500,0
Westinghouse Electric,NA,Canada,Brookfield Business Partners,15500,3500,12000
Wexler & Walker Public Policy Assoc ,WPP Group,UK,WPP Group,0,0,0
WSP worldwide,NA,Canada,WSP Global,49750,39250,10500
ZF TRW Automotive ,ZF Friedrichshafen AG,Germany,ZF Friedrichshafen AG,0,0,0
Zurich Insurance ,Zurich Insurance Group,Switzerland,Zurich Financial Services AG,84000,56000,28000
